Run_ID,Scenario,Simulation_Time,Vehicles_Passed,Avg_Travel_Time,Avg_Waiting_Time,Avg_Queue_Length,Total_CO2,Avg_CO2,Fairness_Index,Throughput
1,Low,60,21,25.714284489795975,16.033333333333335,4.516666666666667,1897245.090073621,31620.7509742145,0.30868180940484047,0.35
2,Low,60,22,19.818180917355413,10.016666666666667,3.45,1898378.250182439,31639.63697571337,0.21075479635232697,0.36666666666666664
3,Low,60,22,20.8636354152893,7.65,2.966666666666667,1898064.9109454148,31634.414655183336,0.4195241797968162,0.36666666666666664
4,Low,120,51,26.098038703960025,8.416666666666666,3.6166666666666667,3957590.7002306003,32979.92222708899,0.3484355126370824,0.425
5,Low,120,48,29.64583271571182,23.308333333333334,4.433333333333334,4092087.9914066438,34100.732977549254,0.4012753515433506,0.4
6,Low,120,49,27.57142800874637,12.625,3.925,4064684.9922613422,33872.3746532414,0.22083591874900055,0.4083333333333333
7,Low,300,146,31.226027183383376,9.406666666666666,3.8733333333333335,11297707.514456714,37659.024922658966,0.40803512828347777,0.4866666666666667
8,Low,300,146,30.184931300103212,10.693333333333333,4.1433333333333335,11221895.259066632,37406.317405534384,0.4338370479078938,0.4866666666666667
9,Low,300,144,30.14583312398727,8.51,3.6566666666666667,10986894.845402062,36622.982695930266,0.30535038206374454,0.48
10,Medium,60,23,20.78260779206053,6.8,3.033333333333333,1870050.0018912414,31167.499512062368,0.43228188592511496,0.38333333333333336
11,Medium,60,21,22.047617997732477,11.083333333333334,3.816666666666667,1858098.7232311117,30968.311537713336,0.32097842832246537,0.35
12,Medium,60,18,23.99999866666674,17.05,4.333333333333333,1882238.374918873,31370.639059137233,0.41518235622720356,0.3
13,Medium,120,53,27.339622125667507,13.825,4.541666666666667,4385183.809709198,36543.198109716664,0.3487532250847467,0.44166666666666665
14,Medium,120,49,29.510203479383605,13.458333333333334,4.033333333333333,4313961.683075763,35949.68039271736,0.48994147772659313,0.4083333333333333
15,Medium,120,50,26.999999460000012,11.425,4.1,4100028.650487954,34166.90513600874,0.41395717412621436,0.4166666666666667
16,Medium,300,144,31.04861089549576,11.266666666666667,4.116666666666666,11160758.037752258,37202.5266684991,0.34986529270164846,0.48
17,Medium,300,142,31.802816677444955,12.933333333333334,4.026666666666666,11099216.568195421,36997.38843732678,0.4344531239081436,0.47333333333333333
18,Medium,300,147,30.802720878893055,10.75,3.95,11221975.408633111,37406.58457075509,0.35583854803575143,0.49
19,High,60,24,20.29166582118059,4.716666666666667,2.7666666666666666,1876496.4178368393,31274.93977603166,0.47056470840504927,0.4
20,High,60,23,21.478259935727827,5.866666666666666,2.5,1897256.9338001555,31620.948369653455,0.30143031156495614,0.38333333333333336
21,High,60,22,19.863635460743843,8.983333333333333,3.45,1886457.807035215,31440.962926570868,0.23967145006963708,0.36666666666666664
22,High,120,48,29.68749938151043,11.616666666666667,4.358333333333333,4116402.5553456238,34303.35434201891,0.34981738593215006,0.4
23,High,120,56,24.482142419961743,6.158333333333333,2.941666666666667,4156619.3396372176,34638.49420832269,0.23948913844867759,0.4666666666666667
24,High,120,50,28.319999433600014,17.216666666666665,4.091666666666667,4196992.2125074165,34974.93481277068,0.43647066596006023,0.4166666666666667
25,High,300,144,31.284722004967207,14.426666666666666,4.57,11370365.741420029,37901.219011729365,0.4252765195281235,0.48
26,High,300,142,31.028168795576278,10.58,4.06,11165917.734523343,37219.725657678726,0.3728605753437685,0.47333333333333333
27,High,300,140,31.43571406117347,20.066666666666666,4.806666666666667,11146380.236632051,37154.60066492484,0.3700243955122191,0.4666666666666667
