Run,System,WaitingTime,TravelTime,Throughput,VehiclesPassed,FuelConsumption,CO2Emission
9358,Fixed,34.62,51.84,0.26,102,3.905,12.074
7363,Fixed,33.43,50.78,0.26,102,3.907,12.081
3396,Fixed,34.92,52.47,0.26,103,3.951,12.22
2286,Fixed,33.56,48.03,0.25,101,3.788,11.717
1875,Fixed,33.15,50.79,0.27,106,3.915,12.107
6257,Fixed,33.56,51.09,0.27,107,3.976,12.297
1045,Fixed,34.82,50.79,0.26,103,3.962,12.251
2335,Fixed,34.99,49.44,0.27,106,4.006,12.384
5618,Fixed,33.91,46.81,0.27,107,3.986,12.325
7352,Fixed,32.84,51.36,0.27,107,3.898,12.052
1460,Fixed,33.66,48.69,0.26,105,3.942,12.19
7938,Fixed,33.59,51.32,0.26,105,3.896,12.046
3951,Fixed,36.09,53.42,0.25,99,3.955,12.231
4103,Fixed,35.35,49.54,0.26,102,3.968,12.272
7924,Fixed,35.82,52.81,0.25,99,3.969,12.274
9739,Fixed,35.04,47.25,0.27,106,3.974,12.288
7119,Fixed,33.48,51.35,0.25,101,3.864,11.947
2935,Fixed,33.28,50.42,0.27,108,3.947,12.206
3115,Fixed,32.67,50.56,0.27,108,3.916,12.113
5736,Fixed,33.71,49.82,0.25,101,3.868,11.959
