Run,System,WaitingTime,TravelTime,Throughput,VehiclesPassed,FuelConsumption,CO2Emission
6553,RL,19.58,35.68,0.42,170,4.454,13.776
6117,RL,20.6,34.12,0.41,165,4.187,12.944
3996,RL,21.65,34.95,0.39,155,4.354,13.473
2650,RL,20.06,33.77,0.42,168,4.283,13.245
1738,RL,20.69,34.86,0.4,160,4.346,13.444
5929,RL,21.6,35.66,0.39,156,4.348,13.455
9941,RL,19.79,34.65,0.41,166,4.225,13.065
9450,RL,20.12,35.96,0.41,164,4.264,13.179
4955,RL,19.88,34.59,0.4,162,4.311,13.338
9486,RL,23.02,38.04,0.38,152,4.24,13.114
3472,RL,18.64,32.92,0.42,167,4.113,12.722
6865,RL,20.5,34.52,0.41,164,4.288,13.268
8921,RL,20.06,34.0,0.39,158,4.081,12.618
2120,RL,16.71,29.34,0.45,180,4.376,13.536
4481,RL,20.59,33.97,0.4,160,4.297,13.289
8066,RL,20.13,34.67,0.4,161,4.199,12.992
3738,RL,20.0,34.27,0.41,163,4.253,13.155
8611,RL,18.86,32.59,0.43,173,4.206,13.002
4898,RL,20.62,36.43,0.41,164,4.289,13.263
6452,RL,20.36,33.69,0.42,170,4.299,13.287
2201,RL,19.76,34.21,0.42,169,4.342,13.432
