Run,System,WaitingTime,TravelTime,Throughput,VehiclesPassed,FuelConsumption,CO2Emission
2363,Fixed,32.98,55.42,0.26,156,6.263,19.369
5999,Fixed,36.99,58.15,0.25,148,6.233,19.273
9231,Fixed,37.92,58.54,0.24,146,6.247,19.318
1893,Fixed,38.11,63.34,0.24,142,6.192,19.146
9869,Fixed,37.4,58.07,0.25,148,6.248,19.32
9100,Fixed,36.72,60.55,0.24,146,6.154,19.03
9661,Fixed,36.04,57.84,0.25,152,6.256,19.344
6629,Fixed,35.92,57.95,0.25,150,6.233,19.274
1859,Fixed,38.52,58.34,0.25,149,6.262,19.362
9145,Fixed,36.46,59.06,0.23,140,6.121,18.933
5879,Fixed,37.54,60.22,0.22,134,6.011,18.596
9268,Fixed,36.03,60.65,0.24,146,6.077,18.791
5450,Fixed,36.57,56.83,0.25,152,6.249,19.324
9539,Fixed,34.09,55.76,0.26,154,6.239,19.297
3979,Fixed,37.24,60.27,0.24,146,6.108,18.887
1474,Fixed,38.83,62.59,0.23,135,6.055,18.725
4170,Fixed,35.29,55.66,0.26,155,6.211,19.208
9927,Fixed,36.4,60.09,0.24,145,6.037,18.668
1073,Fixed,38.1,60.18,0.23,139,6.076,18.79
8549,Fixed,37.61,60.26,0.23,136,6.111,18.901
9332,Fixed,37.6,60.04,0.23,139,6.045,18.695
7220,Fixed,33.65,56.19,0.26,153,6.194,19.156
7127,Fixed,37.61,60.13,0.24,143,6.138,18.979
4046,Fixed,37.01,59.64,0.23,140,6.138,18.984
8118,Fixed,36.44,56.65,0.25,152,6.263,19.368
1798,Fixed,33.55,55.15,0.26,158,6.209,19.2
4007,Fixed,38.01,61.93,0.23,137,6.057,18.729
8538,Fixed,35.75,57.19,0.26,154,6.322,19.548
1995,Fixed,36.04,56.72,0.25,152,6.274,19.404
4469,Fixed,36.95,59.62,0.24,147,6.194,19.155
1137,Fixed,38.07,60.85,0.23,136,6.107,18.889
6643,Fixed,37.17,57.15,0.25,152,6.268,19.383
1786,Fixed,37.26,56.83,0.25,151,6.247,19.316
8616,Fixed,37.81,57.68,0.25,151,6.234,19.277
7452,Fixed,37.45,57.7,0.25,149,6.175,19.096
4066,Fixed,38.56,61.81,0.23,138,6.142,18.997
8976,Fixed,38.2,62.12,0.23,135,6.117,18.918
2913,Fixed,35.67,56.0,0.26,154,6.203,19.181
9952,Fixed,37.14,63.06,0.23,140,6.071,18.773
8058,Fixed,35.54,57.69,0.25,152,6.242,19.302
9593,Fixed,32.77,55.56,0.26,155,6.19,19.144
