Run,System,WaitingTime,TravelTime,Throughput,VehiclesPassed,FuelConsumption,CO2Emission
2263,RL,20.57,37.47,0.4,239,6.935,21.45
7156,RL,19.64,36.29,0.42,255,6.904,21.336
2654,RL,20.46,36.85,0.4,242,6.976,21.571
4725,RL,20.05,35.96,0.4,242,6.963,21.53
1680,RL,20.48,37.57,0.39,237,6.85,21.181
6847,RL,20.81,38.35,0.4,242,6.899,21.33
8969,RL,21.11,37.64,0.39,237,6.671,20.628
7806,RL,19.49,36.62,0.42,253,7.112,21.996
8084,RL,19.21,36.43,0.42,253,7.027,21.728
5920,RL,20.43,37.43,0.4,241,6.963,21.535
3539,RL,19.44,36.95,0.4,239,7.196,22.271
2092,RL,19.71,36.4,0.4,242,7.157,22.144
1387,RL,19.18,37.12,0.42,254,6.946,21.471
4561,RL,20.41,38.4,0.4,241,6.859,21.208
3041,RL,19.93,36.94,0.41,249,7.04,21.766
6248,RL,20.51,36.69,0.4,243,7.123,22.033
7074,RL,19.08,37.01,0.42,250,7.111,21.996
2588,RL,18.94,35.85,0.42,253,6.906,21.354
2154,RL,19.55,36.67,0.42,250,7.159,22.136
9086,RL,19.42,36.25,0.41,244,6.893,21.318
3352,RL,21.16,38.52,0.39,237,6.825,21.097
5660,RL,21.63,39.57,0.39,234,6.815,21.064
8452,RL,21.7,39.66,0.39,232,6.964,21.543
5520,RL,19.7,36.41,0.41,244,7.184,22.223
1474,RL,20.11,37.72,0.4,240,7.055,21.819
1995,RL,21.16,39.0,0.39,236,6.901,21.343
6421,RL,19.32,36.66,0.43,257,7.171,22.176
5818,RL,19.21,36.56,0.43,259,7.125,22.027
8975,RL,20.8,38.46,0.41,245,6.852,21.183
2484,RL,19.45,37.5,0.43,259,7.07,21.852
1419,RL,21.15,38.41,0.4,241,6.919,21.389
3709,RL,21.32,39.11,0.4,240,6.784,20.964
