Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec,Model
1,6482,Low,60,17,23.94117506228382,0.9039215154555971,5.066666666666666,1.670269203260151,0.027837819590372192,0.5400470627726642,0.009000784229531334,6.981392624218044,0.33276382150671424,Clear,Industrial,0.7259112040906781,0.2833333333333333,ppo_10000.zip
2,7218,Low,60,14,24.857141081632783,2.87380931853743,6.733333333333333,1.626411714214546,0.027106861451794743,0.5257783505554084,0.008762972363207269,6.378386225451937,0.4023213452874609,Rain,Residential,0.8986419425545225,0.23333333333333334,ppo_10000.zip
3,2139,Low,60,15,23.46666510222233,2.066666528888898,6.083333333333333,1.6643680418463602,0.027739466901781556,0.5381055275480972,0.008968425309661198,6.706956517976514,0.37599780263431326,Fog,Residential,0.9957751942255079,0.25,ppo_10000.zip
4,236,Low,60,22,19.636362743801694,0.283333320454546,2.933333333333333,1.8189764219813342,0.030316273194417685,0.5880025489386611,0.00980004231897698,8.812988340417588,0.46869701169142963,Fog,School,0.6975385887209181,0.36666666666666664,ppo_10000.zip
5,8588,Low,120,53,26.226414599501613,0.24685534125430175,4.641666666666667,4.171836147192093,0.03476530093688993,1.3483303126457185,0.011236085845080271,7.693917487509198,0.43972128511681363,Rain,Industrial,0.669015877530603,0.44166666666666665,ppo_10000.zip
6,9325,Low,120,55,26.054544980826456,0.23075757156198357,4.45,4.271554887439798,0.035596290432029234,1.3804562021205196,0.01150380158847265,7.951032730112356,0.42792190627939863,Rain,Industrial,0.6345483435688365,0.4583333333333333,ppo_10000.zip
7,7289,Low,120,46,30.34782542722119,0.44583332364130457,5.65,4.029770059696058,0.03358141688428867,1.302333230878422,0.010852776833547042,6.838633505664338,0.4589694816924955,Clear,Residential,0.5147984812084727,0.38333333333333336,ppo_10000.zip
8,1330,Low,120,43,29.558138847485147,0.5881782808950788,6.108333333333333,3.9895697404054355,0.033246414226325176,1.2895936892797468,0.010746613987776108,6.5946768279496855,0.46373968875676075,Rain,Residential,0.7016997738058932,0.35833333333333334,ppo_10000.zip
9,4892,Low,300,122,35.49999970901639,0.3669945325109738,7.79,10.797268503088757,0.03599089489032621,3.4910645436343675,0.011636881773324953,6.115483678007182,0.5413428103654382,Clear,Commercial,0.810476103218156,0.4066666666666667,ppo_10000.zip
10,1790,Low,300,140,31.6357140597449,0.12297618959778911,5.366666666666666,10.959415744485552,0.036531385693180554,3.5442657738632177,0.011814219206829995,7.137381700645989,0.45635327739668285,Rain,School,0.6614018119207132,0.4666666666666667,ppo_10000.zip
11,2911,Low,300,129,33.84496097794604,0.16759689792560545,5.99,10.824989242179553,0.03608329735365419,3.501016264409424,0.0116700541757979,6.461853916736101,0.521459943233227,Heavy Rain,Industrial,0.8654046150455699,0.43,ppo_10000.zip
12,500,Low,300,123,35.577235483111906,0.37883468526692665,7.75,10.634385741887074,0.03544795235479707,3.438564593280341,0.011461881939394862,6.244990517984187,0.5629221295726033,Clear,Residential,0.7229303185947785,0.41,ppo_10000.zip
13,4412,Medium,60,19,22.736840908587318,0.7763157486149606,4.816666666666666,1.7125481630260024,0.028542468908058893,0.5536323201082717,0.009227205181351108,7.482573861303688,0.34622231574014173,Rain,Residential,0.7010174683813588,0.31666666666666665,ppo_10000.zip
14,8633,Medium,60,24,22.124999078125036,0.3833333173611117,3.7333333333333334,1.890393023327009,0.03150654986367432,0.611150018654977,0.010185833474485725,8.541987870381089,0.3607493740968196,Clear,School,0.5538411660629758,0.4,ppo_10000.zip
15,6583,Medium,60,23,23.173912035916867,0.5463767878386904,4.1,1.9395833634860968,0.0323263888526618,0.6269578547369858,0.010449297404794809,8.11407179004429,0.4199087280107747,Fog,Commercial,0.661358079720802,0.38333333333333336,ppo_10000.zip
16,3580,Medium,60,18,22.16666543518525,0.8249999541666692,4.8,1.7330355417194727,0.02888392521392579,0.5602481142651395,0.009337468415461186,7.228729086286482,0.37292025800442896,Fog,School,0.9892128905410652,0.3,ppo_10000.zip
17,5545,Medium,120,49,28.714285128279897,0.42244897097042916,5.458333333333333,4.251350147193638,0.03542791759804767,1.373627428840408,0.011446895144945941,7.187705459136847,0.47118471483278523,Fog,School,0.8445917188079604,0.4083333333333333,ppo_10000.zip
18,4369,Medium,120,45,28.77777713827162,0.6655555407654324,6.391666666666667,4.10870857178238,0.034239237812859515,1.327703148159585,0.011064192809128268,6.897779847849845,0.4579171841936638,Clear,Commercial,0.7928552486596107,0.375,ppo_10000.zip
19,5188,Medium,120,54,26.98148098182443,0.1766975275920211,3.825,4.361335499841847,0.03634446219581154,1.4095542426837482,0.011746285257812192,7.844537504427071,0.352831322229227,Rain,School,0.5691252710665833,0.45,ppo_10000.zip
20,6878,Medium,120,53,26.641508931292286,0.22248427253174327,4.458333333333333,4.313442583892887,0.03594535456622944,1.393761452756557,0.011614678676182318,7.787502144874114,0.43042782114608724,Heavy Rain,Residential,0.6924850696449254,0.44166666666666665,ppo_10000.zip
