Run,System,WaitingTime,TravelTime,Throughput,VehiclesPassed,FuelConsumption,CO2Emission,AvgQueue,AvgSpeedKmph,FairnessIndex,PassedCars,PassedBikes,PassedTrucks,PassedBuses,PassedMotorcycles,PassedRickshaws,PassedEmergencyVehicles,PassedOtherVehicles
1,Fixed,159.18,33.2,0.397,238,6.1039,18.8612,7.29,7.54,,111,40,15,9,25,33,5,0
1,Adaptive Context PPO,41.17,28.57,0.442,265,6.153,19.0136,4.96,9.03,0.188,127,43,16,9,27,38,5,0
2,Fixed,147.02,32.14,0.403,242,6.1091,18.8763,7.11,7.58,,111,41,15,9,25,36,5,0
2,Adaptive Context PPO,65.49,30.09,0.418,251,6.0341,18.6469,5.65,8.93,0.187,118,41,14,9,26,38,5,0
3,Fixed,148.26,33.27,0.395,237,6.0674,18.7475,7.12,7.49,,109,41,14,9,25,34,5,0
3,Adaptive Context PPO,28.97,28.06,0.445,267,6.1154,18.8976,4.28,9.44,0.184,125,43,17,9,27,41,5,0
4,Fixed,150.25,32.33,0.402,241,6.069,18.7523,7.1,7.6,,112,40,15,9,25,35,5,0
4,Adaptive Context PPO,31.15,27.86,0.453,272,6.1269,18.9329,4.25,9.77,0.182,128,44,16,9,27,42,6,0
5,Fixed,144.34,32.67,0.397,238,6.0829,18.7965,7.13,7.63,,111,40,14,9,26,32,6,0
5,Adaptive Context PPO,51.98,28.54,0.437,262,6.097,18.8408,5.29,9.61,0.187,123,44,15,9,26,39,6,0
6,Fixed,136.52,31.71,0.402,241,6.072,18.7624,6.88,7.72,,112,40,14,9,26,34,6,0
6,Adaptive Context PPO,73.9,28.97,0.435,261,6.0918,18.8248,5.67,8.88,0.184,122,42,17,9,27,39,5,0
7,Fixed,155.22,33.44,0.393,236,6.0392,18.6605,7.14,7.58,,109,41,14,9,25,33,5,0
7,Adaptive Context PPO,65.99,28.59,0.435,261,6.0638,18.7391,5.63,9.18,0.187,121,43,16,9,26,41,5,0
8,Fixed,163.13,33.77,0.388,233,6.0583,18.7191,7.38,7.38,,107,40,15,9,25,32,5,0
8,Adaptive Context PPO,61.48,29.74,0.423,254,6.0619,18.7326,5.39,8.96,0.183,120,40,14,9,26,39,6,0
9,Fixed,151.18,33.88,0.38,228,5.9835,18.49,7.16,7.34,,104,41,13,9,24,32,5,0
9,Adaptive Context PPO,105.2,30.28,0.42,252,6.0954,18.8343,6.36,8.34,0.186,118,42,14,9,26,38,5,0
10,Fixed,149.31,33.32,0.393,236,6.0449,18.6794,7.1,7.53,,109,41,14,9,25,33,5,0
10,Adaptive Context PPO,78.01,29.94,0.413,248,5.9997,18.5414,6.0,8.9,0.19,117,41,15,9,26,35,5,0
